text,paragraph_id,question,person,keywords,sentiment
That is long answer but you have given us a good hint for a recommendation.,78,Q28,Sir Geoffrey Clifton-Brown,"long answer, good hint, recommendation",I would rate the sentiment expressed in the paragraph as a 7.
I think it is a yes.,79,Q28,David Williams,opinion on a topic,8
"It is just worth pointing out that paragraph 1.12 on page 19 in the NAO report highlights the Army's approach. This why I was and still am puzzled, and I am heartened that you are saying that it would be good to get the same baseline. If that approach was taken, the estimate is that it would be around £12 billion more to fully provide the capabilities, which is potentially an added shortfall.",80,Q29,Chair,"1. NAO report highlights
2. Army's approach
3. Puzzlement
4. Baseline comparison
5. Cost estimate
6. Shortfall","I would rate the sentiment expressed in the paragraph as a 5, neutral."
"Some of that includes investment in ammunition stocks, for which we have said in the DCP that we will allocate another £2.5 billion. It is not all for the Army, but quite a lot of it will go in that direction. Some of it will be programmes that the Army will want to fund by prioritising new investment over old.",81,Q29,David Williams,"investment in ammunition stocks, DCP allocation, Army funding priorities",I would rate the sentiment expressed in the paragraph as a 7.
"To be fair, ammunitions are to be delivered in the short term.",82,Q30,Chair,"ammunitions delivery, time frame",I would rate the sentiment expressed in the paragraph as a 5. It is neutral and does not lean towards being either negative or positive.
"We want to get to the situation of an always-on production line on munitions, so that we can surge when we need to.",83,Q30,David Williams,"always-on production line on munitions, surge when needed",I would rate the sentiment expressed in the paragraph as an 8.
My point is that it is quicker to deliver munitions than a new aircraft carrier.,84,Q31,Chair,"quicker delivery, munitions, new aircraft carrier",I would rate the sentiment expressed in the paragraph as a 9.
"Not necessarily. The whole point of munitions is not what you just said, Chair, if I may say. It is about a long-term commitment to industry. We are learning, through operational lessons and not just from Ukraine, that we need a stronger industrial base. Some, but not all, of those areas will need some time to get to a level of production that is suitable for the ability to deter state-on-state conflict.",85,Q31,Lt General Sir Robert Magowan,"munitions, long-term commitment to industry, operational lessons, Ukraine, stronger industrial base, level of production, ability to deter state-on-state conflict",I would rate the sentiment expressed in the paragraph as a 6.
So we are not talking about just a few years; we are talking about a decade.,86,Q32,Chair,"time frame, duration","I would rate the sentiment expressed in the paragraph as a 5. While it is not overtly positive or negative, it does convey a sense of neutrality or neutrality-leaning-towards-negative due to the emphasis on a relatively long period of time (a decade) without indicating whether it is a positive or negative thing."
"In some cases, we can go quite quickly. Mr Start is much more of an expert than I am in facing industry. For others, it is going to take a period of time, but that is the business that we are in. We are in long-term commitment, long-term resilience and long-term deterrence.",87,Q32,Lt General Sir Robert Magowan,"speed, expertise in industry, time, business focus (long-term commitment, long-term resilience, long-term deterrence)",I would rate the sentiment expressed in the paragraph as a 7.
We are beginning to get flesh on the bones of the picture.,88,Q32,Chair,"getting flesh on the bones, picture",I would rate the sentiment expressed in the paragraph as a 6.
"Mr Williams, I have a general question that is very germane to this. The Secretary of State recently gave evidence to the Defence Committee, where he presaged a major announcement within the next few months on big changes to the way that we procure military equipment. As you know, you and the Defence Committee have had certain discussions on this. Can you give us a date for when that announcement is likely to be made? Can you promise us that it will be made to Parliament first and that we will not read about it on the newswires, not least because the Speaker is at about the limits of his tolerance on this? When can we expect this major new announcement about procurement reform? If you cannot answer that, maybe Mr Start can.",89,Q33,Mr Francois,"1. General question to Mr Williams
2. Evidence given by Secretary of State to Defence Committee
3. Major announcement on changes to military equipment procurement
4. Discussions with Defence Committee
5. Date of announcement
6. Announcement made to Parliament first
7. Speaker's tolerance on this matter
8. Expectation of major new announcement about procurement reform
9. Mr Start's potential answer","I would rate the sentiment expressed in the paragraph as a 6.5. The tone seems generally neutral, with a slight undercurrent of frustration or impatience regarding the timing and manner of the announcement."
"There is always a set of grid and parliamentary business processes to work through. As you know, normally when I give the Committee dates, they turn out not to be right. We are targeting an announcement before Easter.",90,Q33,David Williams,"grid and parliamentary business processes, Committee dates, announcement before Easter",I would rate the sentiment expressed in the paragraph as a 6.
We recognise that it is not entirely in your hands. We do understand that.,91,Q33,Chair,"acknowledgment, understanding",8.5
"That is good, because the House rises on 26 March and is due back a little after that, but then we are in April and in purdah for the elections and all the rest of it. If it is not by then, you are probably talking about mid-May, realistically. We understand grid management. Can you just give us your commitment---and we respect you, David---that you will do your very best, subject to those extraneous factors, to have it made before we rise for the Easter recess on 26 March?",92,Q34,Mr Francois,"House rising, April purdah, elections, grid management, commitment","I would rate the sentiment expressed in the paragraph a 7.5. The speaker acknowledges the positive aspect of the timing, but also expresses some urgency and uncertainty about meeting a deadline. There is respect and trust conveyed towards the person being addressed."
We are collectively being driven by the defence ministerial team for the work to be ready in that kind of timeframe.,93,Q34,David Williams,"defence ministerial team, work readiness, timeframe",I would rate the sentiment expressed in the paragraph as a 7.
"That is as far as we can ask you to go. That is very good. Thank you very much. Moving on to some programme specifics, let us look at the Royal Navy. There have been many press reports that Type 23 frigates HMS Westminster and HMS Argyll, which have gone into refit, will not come back out, which would take us down to 15 available frigates and destroyers as opposed to the current number of 17 and what was, for very many years, a number of 19. Will Westminster and Argyll come back into active service from refit?",94,Q35,Mr Francois,"- Limitations on asking for assistance
- Appreciation for the assistance
- Programme specifics
- Press reports on Type 23 frigates
- Potential decrease in available frigates and destroyers
- Question about the return of Westminster and Argyll into active service","I would rate the sentiment expressed in the paragraph as a 7.5. While the overall tone is positive and grateful, there is also a concern expressed regarding the potential reduction in the number of frigates and destroyers in the Royal Navy."
The Secretary of State has not yet decided on those two particular vessels. We are in negotiation with the Navy so that we can provide the advice to the Secretary of State. He has not yet announced what is going to happen to Westminster and Argyll.,95,Q35,Lt General Sir Robert Magowan,"Secretary of State's decision, negotiation with Navy, providing advice, fate of Westminster and Argyll, announcement","I would rate the sentiment expressed in the paragraph as a 5. The paragraph does not contain any explicitly positive or negative language, making it neutral. It simply states that a decision has not yet been made and negotiations are ongoing."
"But you cannot tell us for definite that they are coming back. It is subject to final approval, one way or another, by the Secretary of State. It is, metaphorically, on his desk.",96,Q36,Mr Francois,"uncertain return, final approval, Secretary of State, metaphorical desk",I would rate the sentiment expressed in the paragraph as a 5.
"Yes, exactly what you have just said, Mr Francois.",97,Q36,Lt General Sir Robert Magowan,"- Agreement with Mr. Francois
- Acknowledgment of what Mr. Francois said",9.
"We know what that means, so we are down to 15. For the Type 31 programme and the Venturer class, is initial operating capability still late 2027?",98,Q37,Mr Francois,"- Meaning of ""that""
- Reduction in number to 15
- Type 31 programme
- Venturer class
- Initial operating capability
- Late 2027",I would rate the sentiment expressed in the paragraph as a 5. The statement seems neutral and does not explicitly convey a positive or negative sentiment.
"Yes, 2027.",99,Q37,Lt General Sir Robert Magowan,"Year, future assessment",I would rate the sentiment expressed in the paragraph as a 5. It does not convey a strong positive or negative sentiment.
"For the Type 26 and HMS Glasgow, initial operating capability is still October 2028.",100,Q38,Mr Francois,"Type 26, HMS Glasgow, initial operating capability, October 2028",I would rate the sentiment expressed in the paragraph as a 6. The statement is neutral and lacks any strong positive or negative emotion.
That is correct.,101,Q38,Lt General Sir Robert Magowan,verification,I would rate the sentiment expressed in the paragraph as a 5. It is neutral and does not indicate any particular positive or negative emotions.
"So we are going to have to run the gauntlet of this gap for the best part of another three years, nearly four, when, even on a good day, we may have only 15 escorts available when you knock off the ones that are in refit or deep maintenance. In the Defence Committee's public session, we asked the First Sea Lord, ""How many escorts, including those already on active service, could you put to sea to fight tonight?"" He said eight and a half. As he is the First Sea Lord, I presume that you agree with that figure.",102,Q39,Mr Francois,"running the gauntlet, three years, four years, escorts, refit, deep maintenance, Defence Committee's public session, First Sea Lord, active service, fight tonight, figure",I would rate the sentiment expressed in this paragraph as a 3.
"I will agree. On your first point, you made an assumption about Westminster and Argyll, and we will have to wait and see what the Secretary of State's decision is on those two.",103,Q39,Lt General Sir Robert Magowan,"Agreement, Assumption about Westminster and Argyll, Secretary of State's decision","I would rate the sentiment expressed in the paragraph as a 6. It seems to be leaning slightly towards the positive side, as the person agrees with the point made and expresses a willingness to wait for a decision. However, it is not overly positive or enthusiastic."
"I understand that, but what I am saying is that you have not contradicted me, so we will make that the working assumption for this afternoon. That is eight and a half escorts that the Royal Navy could put to sea. How on earth can we deter Vladimir Putin with eight and a half escorts, when the destroyers' power packs do not work very well and the Type 23 frigates are so old that they keep failing their MOT? Who are we kidding here?",104,Q40,Mr Francois,"contradiction, working assumption, Royal Navy escorts, deterring Vladimir Putin, power packs of destroyers, Type 23 frigate's condition, failing MOT, kidding",I would rate the sentiment expressed in the paragraph as a 3.
"First of all, the high watermark of 13 Type 23 and six Type 45 does not translate to 19 escorts at what we call readiness level 0. You know, Mr Francois, that the system does not work like that.",105,Q40,Lt General Sir Robert Magowan,"high watermark of Type 23, high watermark of Type 45, escorts at readiness level 0, the system not working like that",I would rate the sentiment expressed in the paragraph a 5.
Yes. Would that it did.,106,Q41,Mr Francois,"expressing agreement, expressing a wish",5
"That is the first point. Secondly, the United Kingdom is not facing down the Russian navy by itself. It is there to deter our adversaries along with an alliance called NATO. Thirdly, we accept that the Type 23s are coming to the end of their life, although some of them will be in service through to the 2030s, which is precisely why you have just given the dates.",107,Q41,Lt General Sir Robert Magowan,"- First point
- United Kingdom's role in deterring Russian navy
- Alliance called NATO
- Type 23s reaching end of life
- Some Type 23s in service through to the 2030s
- Dates significance",I would rate the sentiment expressed in the paragraph as a 6.5.
"How has this situation been allowed to develop? The Type 26 has slipped again and again. The cost of that one-year extension in time to the taxpayer is nearly £250 million. How old the Type 23s are is not a state secret. It is like that car that you keep putting through for an MOT and, every year, it gets more expensive. Why have we allowed the Type 26 programme to slip to the point where it takes 11 years to build a frigate, when some other nations can build the equivalent in three? How did that happen?",108,Q42,Mr Francois,"cost of Type 26, time extension, Type 23s, British taxpayer, Type 26 programme, building frigate, other nations",I would rate the sentiment expressed in the paragraph as a 7.
"First, we have to be careful with comparisons. I think that the example you are picking is Japan, which has got down to a three-year build cycle, but we should get down to a three-year build cycle with Type 31 as we come to the back end of the Type 31 build process. Type 26 is an absolutely top-end capability. It is pushing the boundaries of what has been done before in order to provide us with an asset that is as capable as possible to make it. That has had real technical issues in developing the ship.",109,Q42,Andy Start,"- Comparisons
- Japan's build cycle
- Type 31 build cycle
- Type 26 capability
- Technical issues in ship development","I would rate the sentiment expressed in the paragraph as a 7.5. The overall tone seems positive, with the speaker emphasizing the importance of being careful with comparisons and stating that Type 26 is an ""absolutely top-end capability."" However, the mention of ""real technical issues"" suggests some challenges or difficulties in the ship's development, bringing down the overall positivity slightly."
"The good news on Type 26 is that we now appear to have a stable programme. They are making decent progress. I am pleased to see the investment in the build hall. I was up there just before Christmas, and progress on the first ship is starting to really come on. It is disappointing that it takes that long, but the comparisons are not exactly like for like and, as I said, when we get to the back end of the Type 31 programme, we should be at that three-to-four-year build time.",110,Q42,Andy Start,"Type 26 programme, progress, investment, build hall, first ship, build time, Type 31 programme",I would rate the sentiment expressed in the paragraph as an 8.
"To save time, the Type 26 is a world beater. We have exported it to Australia and Canada. In terms of the prosperity agenda, this is fantastic. The ship is so good that we are anxious to get it into service sooner rather than later. That is why we are beating you up about it a bit: we do not want to wait any longer than we have to for a world beating ship.",111,Q43,Mr Francois,"Type 26, world beater, export to Australia, export to Canada, prosperity agenda, ship, service, beating you up, wait, world beating ship",I would rate the sentiment expressed in the paragraph as a 9.
"Let us move on to Fort Victoria. If the carrier sails, it needs a support ship to carry some of its stores. The last one we have that can do that is Fort Victoria, which is nearly 30 years old. We have a competition to build some new ones. That has been delayed and delayed, so they are years away. If the carrier now sails without Fort Victoria, we have to beg, steal and borrow a support ship from another ally. We have spent £10 billion, including the aircraft, on a ""sovereign"" carrier capability that now hangs on borrowing a support ship from another nation. Why did Fort Victoria not sail? Was it because she is not technically ready to put to sea, or you cannot crew her?",112,Q43,Mr Francois,"Fort Victoria, carrier sails, support ship, stores, competition to build new ones, delay, years away, carrier sails without Fort Victoria, beg, steal, borrow, support ship from another ally, £10 billion, aircraft, ""sovereign"" carrier capability, borrowing support ship, Fort Victoria not sailing, technically ready to put to sea, crew.","I would rate the sentiment expressed in the paragraph as a 2. The tone is highly critical and negative, with the speaker expressing frustration and disappointment about the current situation regarding the carrier and the lack of a support ship."
"Fort Victoria is going through a scheduled maintenance period. We have the Tide class. They are oilers, but they have the capacity to support a carrier task group in addition to providing it with fuel across the range of logistics support that a carrier task group needs. That is why we are accelerating the FSS programme. You are right that it has had some difficulties, but we are on schedule.",113,Q43,Lt General Sir Robert Magowan,"- Maintenance period
- Tide class
- Oilers
- Capacity to support a carrier task group
- Fuel provision and logistics support
- Accelerating the FSS programme
- Difficulties in the FSS programme
- Being on schedule",I would rate the sentiment expressed in the paragraph as a 7.
What is the IOC for that?,114,Q44,Mr Francois,IOC,"I would rate the sentiment expressed in the paragraph as neutral, around a 5. The speaker is simply asking a question and there is no clear indication of a positive or negative sentiment."
It is 2029 for the first phase.,115,Q44,Lt General Sir Robert Magowan,"Time, phase",4
"Very quickly, yet again, General, we have a situation where we have a critical and very expensive capability---for the record, my father was in the Royal Navy and I am as pro carrier as you are going to find---that hangs on some extremely old warships, because the new warships to replace them are running years late. There is definitely a pattern here, is there not?",116,Q45,Mr Francois,"situation, critical and expensive capability, old warships, new warships running late, pattern",I would rate the sentiment expressed in the paragraph as a 7.
I agree.,117,Q45,Lt General Sir Robert Magowan,opinion/agreement,"The sentiment expressed in the paragraph is neutral, as it does not provide any specific context or opinion. Therefore, it would receive a rating of 5 on the scale."
So why not do something about it?,118,Q46,Mr Francois,Taking action,8.
"We are. That is why we have commissioned Type 31, Type 26 and FSS. That is why we are commissioning MRSS. We know that many, although not all, of our current maritime platform capabilities are coming to the end of their life. You are articulating the recapitalisation programme of our fleet. That is precisely why we are doing it. Are there some delays in some of those programmes? Yes, there are. We accept that, and that is why we are doing all that we can.",119,Q46,Lt General Sir Robert Magowan,"- Commissioning of Type 31
- Commissioning of Type 26
- Commissioning of FSS
- Commissioning of MRSS
- End of life of current maritime platform capabilities
- Recapitalisation programme of fleet
- Delays in programmes",I would rate the sentiment expressed in the paragraph as a 7.
"Forgive me, but we do not accept that. That is why we are here. I have two more quick questions and then I will come back to the Chair. For the LPDs or amphibious assault ships, the out-of-service date for Albion and Bulwark is 2034.",120,Q47,Mr Francois,"- Rejection of something
- Purpose of being present
- Quick questions
- LPDs or amphibious assault ships
- Out-of-service date of Albion and Bulwark (2034)",I would rate the sentiment expressed in the paragraph as a 3.
It is 2032.,121,Q47,Lt General Sir Robert Magowan,Time period,"I'm sorry, but the given sentence ""It is 2032."" does not convey any sentiment, as it is a neutral statement indicating a specific year. Therefore, it would not be accurate to rate it on a scale of 1 to 10."
"It was 2034 in the PQ that I got the other day, but, if I am wrong, I will buy you a drink. I thought that it was 2034. We will argue about that later.",122,Q47,Mr Francois,"PQ, Year discrepancy, Buying a drink, Arguing","The sentiment expressed in the paragraph is difficult to determine as it mainly consists of factual statements and conditional promises rather than expressing a clear positive or negative emotion. Therefore, it would be more appropriate to rate the sentiment as neutral, around a 5 on the scale."
We will take the general's date.,123,Q47,Chair,general's date,7.5
"Is the reason that they now seem to be in play because they are old---they still have nearly the best part of a decade left, whichever one of the two of us you believe---or is it because you cannot crew them?",124,Q48,Mr Francois,"reason for being in play, age, remaining time left, belief, inability to crew",I would rate the sentiment expressed in the paragraph a 4.
"If we go back to the Westminster/Argyll conversation, the Secretary of State has not made a decision about the future of Albion and Bulwark at the moment.",125,Q48,Lt General Sir Robert Magowan,"Westminster/Argyll conversation, Secretary of State's decision, future of Albion and Bulwark",I would rate the sentiment expressed in the paragraph as a 5.
My question is why it is even an issue.,126,Q49,Mr Francois,"reasoning, problem identification","I would rate the sentiment expressed in the paragraph as a 5. It is relatively neutral, neither expressing a strong positive nor a strong negative emotion."
"At the very start of this Committee conversation, we accepted that we have workforce issues across the Armed Forces. Therefore, we need to look at the totality of those pressures when we look to start to crew some of these new capabilities that you have talked about.",127,Q49,Lt General Sir Robert Magowan,"workforce issues, totality of pressures, crewing new capabilities",I would rate the sentiment expressed in the paragraph as a 7.
So it is workforce issues and crewing.,128,Q50,Mr Francois,"workforce issues, crewing","It is difficult to accurately rate the sentiment expressed in this paragraph since it is incomplete and lacks emotional context. Without further information, it is not possible to determine whether the sentiment is positive or negative."
"Crewing is definitely an issue within the Royal Navy. We accept that. As to whether that is the driver for whatever decision the Secretary of State makes with regards to the two LPDs, there are a range of issues associated with that.",129,Q50,Lt General Sir Robert Magowan,"Crewing issue, Decision making, Driver, Secretary of State, LPDs, Range of issues",6
"I realise that you are sitting here in lovat green, so it is a difficult question, but thank you. Lastly, on SSNs or attack submarines, we will not talk about the deterrent in open session, but it is widely known and reported on all sorts of websites that, a few months ago, we did not have a single attack submarine at sea, because they were spotted all tied up either in Faslane or in Devonport. That has not happened for, crikey, half a century. Why did we not have a single attack submarine at sea?",130,Q51,Mr Francois,"- Conversation appreciation, 
- SSNs or attack submarines, 
- The deterrent in open session, 
- Attack submarines at sea",I would rate the sentiment expressed in the paragraph as a 3.
I am not going to get into the detail of the operational readiness of our SSN fleet.,131,Q51,Lt General Sir Robert Magowan,operational readiness of SSN fleet,5
Just give us a rough idea.,132,Q52,Mr Francois,request,"I would rate the sentiment expressed in the paragraph as a 7, which leans towards being positive."
"We are quite clear on the numbers. We have one Trafalgar class left, and we have four at sea, with a fifth Astute class soon.",133,Q52,Lt General Sir Robert Magowan,"numbers, Trafalgar class, at sea, Astute class",I would rate the sentiment expressed in the paragraph as a 8.
"With respect, there was no operational readiness. That is the point. They were all tied up.",134,Q53,Mr Francois,"operational readiness, point, being tied up",I would rate the sentiment in the paragraph a 3.
"The operational availability of these platforms and, in fact, the totality of their capability change on a weekly, monthly and yearly basis, depending on what the operational tasking is. I do not think that you would expect me to sit here and give a detailed account of the operational readiness of our SSNs.",135,Q53,Lt General Sir Robert Magowan,"operational availability, capability change, operational tasking, operational readiness, SSNs","I would rate the sentiment expressed in the paragraph as a 5. The tone seems neutral overall, neither extremely positive nor negative."
"General, I am very proud to have had a father at D-Day on a minesweeper. Across the Navy, it is the most godawful mess at the moment, is it not? We have just been through class by class. It is a mess, is it not?",136,Q54,Mr Francois,"Father's role on D-Day, Navy's current state, current situation",7
"I would disagree. There is no doubt that we have we have workforce pressures, as the Permanent Secretary has said, including in the Navy, but, as the Secretary of State made clear yesterday and in his speech last week, we are about to launch Steadfast Defender, which sees something like 40% of the total commitment of that exercise across the alliance coming from United Kingdom Armed Forces, including the Royal Navy and a carrier task group.",137,Q54,Lt General Sir Robert Magowan,"workforce pressures, Steadfast Defender exercise, United Kingdom Armed Forces, Royal Navy, carrier task group",I would rate the sentiment expressed in the paragraph a 6.
"I will meet you halfway. You said, ""We have workforce pressures"", which comes right back to where we started. They are leaving at three times the rate that we can replace them. The workforce pressures are more important than any programmatic that I have just mentioned. If there is no crew, no ship goes to sea.",138,Q54,Mr Francois,"meeting halfway, workforce pressures, retention rate, importance of workforce pressures, programmatic, crew and ship operations",I would rate the sentiment expressed in the paragraph as a 7.5. The speaker acknowledges the challenges and issues discussed but also emphasizes the importance of addressing them in a practical and collaborative manner.
"Inflation has been covered, but we have also been talking about costing uncertainty. I am looking at paragraph 1.27 in the NAO Report, which says, ""The MoD reflects this uncertainty by recording and monitoring two levels of risk"". The first is ""risk inside cost (RIC), which is risk that the MoD judges will probably occur and so includes it in its forecast costs"". It then goes on to say, ""RIC has increased from £13.2 billion in last year's plan (5% of forecast costs) to £22.8 billion this year (8% of forecast costs)"". Mr Wipperman, what proportion of the RIC is inflation?",139,Q55,Mr Djanogly,"Inflation, costing uncertainty, NAO Report, risk inside cost (RIC), forecast costs, Mr Wipperman","I would rate the sentiment expressed in the paragraph as a 5. The paragraph seems to be discussing a specific topic related to costing uncertainty and inflation. The tone appears to be neutral and informational, lacking a strong positive or negative sentiment."
"I would not be able to say explicitly how much of that risk increase is just to do with inflation. The risk inside costing is available to projects within their specific budget to deal with problems or challenges that might emerge as they go through their programme. Some will reflect inflation for those projects that see that as a risk. Some will be other risks. The reason why it has gone up is partly a reflection, as the NAO points out, that we have a growing budget---and you would expect it to grow---but it is also a recognition by us and by projects that we have been in a more volatile economic context. As a result, the level of provision available to projects should go up. That is why you see an increase. As I said, some of it will be for inflation, and some for other risks and issues that we are dealing with.",140,Q55,Tom Wipperman,"risk increase, inflation, risk inside costing, specific budget, problems or challenges, programme, reflection, growing budget, volatile economic context, provision available, increase, inflation, other risks and issues",I would rate the sentiment expressed in the paragraph as a 7.
But you cannot break those figures down.,141,Q56,Mr Djanogly,"figures, breakdown",3
"I cannot. I can break down inflation overall and where we are seeing inflation rises. We are seeing inflation in the equipment plan of about £11 billion. On top of that, we have about £2 billion of fuel and forex. While that does not directly translate into the risk, that is additional cost pressure that we are seeing through the plan. Outside the equipment plan, we have about another £5 billion of inflation forecast risk, which is to do with utilities and energy costs, and the cost of maintenance in the estate, as well as about £6 billion to do with the consequences of the consolidated pay awards. In big handfuls, it is equipment and materials, infrastructure, utilities and energy costs, forex and pay.",142,Q56,Andy Start,"inflation overall, inflation rises, equipment plan, fuel and forex, risk cost pressure, utilities and energy costs, cost of maintenance, consolidated pay awards, equipment and materials, infrastructure","I would rate the sentiment expressed in the paragraph a 5.5. The paragraph discusses the presence of inflation and cost pressures, which could be seen as negative. However, it also provides some details and breakdowns, which could be seen as informative and potentially more positive. Overall, the sentiment is somewhat neutral."
"That is helpful. That is what I wanted. You said that it has gone up. It has gone up by 63%, which is rather significant. Do you currently expect a similar increase this year, given that inflation is coming down?",143,Q57,Mr Djanogly,"helpfulness, wants, increase, significance, expectation, similar increase, inflation",I would rate the sentiment expressed in the paragraph as a 8.
"We are in the process right now of putting together the planning round for this year. We are analysing returns from TLBs to see how costs are playing through to them. In this plan in front of you, on top of that risk provision, we are holding £4 billion of contingency available across the plan as a whole, which is not allocated to any project and is available to us to deploy, should further issues occur.",144,Q57,Tom Wipperman,"1. Planning round for this year
2. Analysis of returns from TLBs
3. Costs and their impact on TLBs
4. Risk provision
5. Holding £4 billion of contingency
6. Contingency not allocated to any project
7. Availability of contingency for deployment if further issues occur",I would rate the sentiment expressed in the paragraph as a 7.
What do you mean when you say that you are working it out again at the moment?,145,Q58,Mr Djanogly,"meaning of ""working it out again"", current situation",I would rate the sentiment expressed in the paragraph a 5. It is neutral and does not inherently convey a positive or negative emotion.
That is for this year's plan.,146,Q58,Tom Wipperman,year's plan,I would rate the sentiment expressed in the paragraph as a 5. It is neutral and does not convey a particularly positive or negative sentiment.
At what point do you draw sticks on the inflation figure?,147,Q59,Mr Djanogly,measurement of inflation,I would rate the sentiment expressed in the paragraph as around 5.
"Probably towards mid-February, given the way our planning works, we will need to take a snapshot and say that that is the point at which we take a view. We do that for other variables as well, such as forex.",148,Q59,Tom Wipperman,"timeline, planning, snapshot, decision-making, other variables, forex","I would rate the sentiment expressed in the paragraph as a 5. The statement seems neutral and objective, without conveying a particularly positive or negative sentiment."
"General Magowan, what are the capability consequences for our Armed Forces of the plan being unaffordable?",149,Q60,Sarah Owen,"General Magowan, capability consequences, plan affordability, Armed Forces.","It is difficult to rate the sentiment expressed in this paragraph as it does not convey a clear positive or negative sentiment. It appears to be a neutral question seeking information rather than expressing a specific sentiment. Therefore, I would rate it as a 5 on the sentiment scale."
"As I have said to Committees before, it is about balancing the risk against the budget that we are given.",150,Q60,Lt General Sir Robert Magowan,"risk, budget","I would rate the sentiment expressed in the paragraph as a 5. It is relatively neutral, leaning slightly towards a positive sentiment. The speaker acknowledges the need for balancing risk, which suggests a practical and responsible approach, but there is no strong emotional tone present."
What is that risk?,151,Q61,Sarah Owen,risk,"The sentiment expressed in the paragraph is neutral, as it does not convey any positive or negative emotions. Therefore, it would receive a rating of 5 on the scale."
The financial risk?,152,Q61,Lt General Sir Robert Magowan,financial risk,"Without any context provided, it is impossible to determine the sentiment expressed in the given phrase."
"No, your capability risk.",153,Q61,Sarah Owen,capability risk,"Since the given statement is an incomplete sentence, it is difficult to determine the exact sentiment being expressed. Therefore, it is not possible to rate the sentiment on a scale of 1 to 10."
"I have mentioned the operational capability risks publicly before. Those areas where, if I gave you my top four or five, we know that we need to invest more are lessons from not just Ukraine but operations that we are seeing unfolding around the world.",154,Q61,Lt General Sir Robert Magowan,"operational capability risks, need to invest more, lessons from Ukraine and global operations unfolding",I would rate the sentiment expressed in the paragraph a 6.
"If I were allowed to say only one thing, it would be straight lethality, which the Permanent Secretary has already mentioned. You cannot deter major state-on-state conflict if you cannot prove that you can close with and kill the enemy. To do, that you need lethality, so we need greater munitions stockpiles. Related to that, we need a strong industrial base to be able to produce that, which is a sovereign capability. That would probably be my number one.",155,Q61,Lt General Sir Robert Magowan,"lethality, major state-on-state conflict, munitions stockpiles, strong industrial base, sovereign capability",I would rate the sentiment expressed in the paragraph as a 7.
"If I were allowed another two or three in answering your question---but we are balancing these---it is clear that the battlespace of today and tomorrow is such that there are a lot of things flying through the air and trying to do us harm. Therefore, we need the ability to deliver what we call IAMD---or integrated air missile defence. We have a missile defence capability within the UK Armed Forces and within NATO, but we all agree across NATO that it needs to be deeper and broader.",156,Q61,Lt General Sir Robert Magowan,"question, battlespace, deliverability, IAMD, missile defence, UK Armed Forces, NATO",I would rate the sentiment expressed in the paragraph as a 8.
How confident are you that those three priorities that you have set out are going to be included in what Mr Williams puts forward to Ministers and what will actually be delivered?,157,Q62,Sarah Owen,"Confidence in priorities included in Mr Williams' proposal, Delivery of priorities.",I would rate the sentiment expressed in the paragraph as a 7.
"This is a fundamental question. The point here is that we must demonstrate that the programme of record---and both Mr Wipperman and the Permanent Secretary have made it clear that there are uncommitted elements within the programme of record out to 10 years---is not fixed from now until 2034 as far as our budget is concerned. Therefore, we have to be flexible in identifying those areas that are uncommitted and whether they are a higher or lower priority than the areas that I have just articulated, and there are probably a couple of others.",158,Q62,Lt General Sir Robert Magowan,"fundamental question, programme of record, uncommitted elements, budget, flexibility, identifying areas, higher or lower priority, other areas","I would rate the sentiment expressed in the paragraph as a 5. The statement is neither particularly positive nor negative, but rather focuses on the need for flexibility and prioritization within a budget."
"As I have said here before, from a military capability perspective, we will have to make hard-edged decisions about deleting, de-scoping or potentially deferring---we will see---to ensure that there is headroom to get after the things that we have just been talking about, and we will do that.",159,Q62,Lt General Sir Robert Magowan,"military capability, hard-edged decisions, deleting, de-scoping, potentially deferring, headroom, getting after things",I would rate the sentiment expressed in the paragraph as a 5.
"Given the international developments that you just alluded to in North Korea, Ukraine, China and the Middle East, do the Armed Forces currently have what they need to meet those demands?",160,Q63,Sarah Owen,"international developments (North Korea, Ukraine, China, Middle East), Armed Forces, meeting demands",I would rate the sentiment expressed in the paragraph as a 5. It is neutral and mainly focused on asking a question about the preparedness of the Armed Forces to meet the demands posed by international developments. There is no particular positive or negative sentiment evident in the sentence.
"Yes. This is state-on-state deterrence. We are part of a broad alliance, and my firm judgment and those of my seniors is that we are deterring state-on-state conflict. NATO is not at war. It is deterring state-on-state conflict, and we are part of that. Does that mean that we are not carrying any operational risk? Does that mean that we not do not need to adjust the programme of record to meet those operational risks? No, absolutely not. There are things that we are going to need to invest in. Are we deterring today? Yes, we are. If we need to go to war tonight, we can.",161,Q63,Lt General Sir Robert Magowan,"- State-on-state deterrence
- Broad alliance
- Deterrence of state-on-state conflict
- NATO not at war
- Operational risk
- Adjusting programme of record
- Investment needs
- Deterring today
- Potential for going to war",I would rate the sentiment expressed in this paragraph as a 7.
"Earlier in the Committee, you said that we need to be ready for changes. Are we ready for those changes? Do we have enough resilience built into the system currently to deal with those international developments that we just spoke about?",162,Q64,Sarah Owen,"changes, readiness, resilience, system, international developments","I would rate the sentiment expressed in the paragraph as a 6.5. While the overall tone seems neutral, there is an underlying sense of concern and uncertainty about the preparedness and resilience of the system to handle impending changes."
